EpochSeconds	Games	
1428032400	1781705981,1781668490,1781668550,1781669001,1781681024,1781683861,1781684114,1781685016,1781685048,1781685432,1781685844,1781686240,1781686301,1781686607,1781686864,1781686992,1781686849,1781666929,1781667918,1781669471,1781678862,1781681207,1781682429,1781685037,1781685298,1781685316,1781685608,1781686323,1781686611,1781686691,1781687483,1781685443,1781685633,1781686031,1781686282,1781686622,1781686886,1781686942,1781687166,1781687433,1781709695,1781688647,1781683386,1781684103,1781686184,1781686535,1781686715,1781687424,1781687816,1781687969,1781688189,1781688325,1781688360,1781688463,1781688580,1781711977,1781678621,1781683405,1781685045,1781685930,1781686185,1781686909,1781687699,1781687911,1781688174,1781688473,1781688607,1781688977,1781689068,1781689345,1781689412,1781689570,1781691139,1781691666
1428032700	1781713268,1781683154,1781686066,1781686250,1781686578,1781686978,1781687219,1781687615,1781687697,1781688756,1781688965,1781689022,1781689033,1781689138,1781689196,1781689383,1781689456,1781691501,1781693344,1781713231,1781681271,1781684127,1781685410,1781687547,1781687940,1781688123,1781688254,1781688432,1781688512,1781688604,1781689127,1781689174,1781689380,1781689510,1781689542,1781690612,1781715669,1781693914,1781684936,1781685283,1781687540,1781687793,1781688163,1781688797,1781689115,1781689391,1781689431,1781689486,1781689621,1781689634,1781692237,1781693210,1781693423,1781687726,1781688334,1781689063,1781689180,1781689415,1781689652,1781692740,1781692978,1781694664,1781694848,1781695052,1781695153,1781696094,1781696115,1781696253,1781685619,1781687736,1781688341,1781689237,1781689327,1781692628,1781692737,1781694341,1781694510,1781694785,1781695044,1781695633,1781695897,1781696237,1781696401,1781696430,1781696813
1428033000	1781684813,1781688505,1781689150,1781689674,1781693650,1781695565,1781696169,1781696242,1781696786,1781697122,1781697532,1781697539,1781687408,1781689485,1781689616,1781691317,1781694513,1781694719,1781695315,1781696128,1781696238,1781696363,1781696400,1781696557,1781697113,1781697282,1781699564,1781684978,1781687148,1781694662,1781695017,1781695336,1781695567,1781696812,1781697908,1781698359,1781698378,1781698884,1781699048,1781699099,1781699229,1781699382,1781699511,1781723221,1781687965,1781689656,1781692602,1781695955,1781697691,1781698613,1781698899,1781725341,1781687633,1781688284,1781689149,1781692881,1781693376,1781694704,1781696734,1781696817,1781697097,1781697744,1781697876,1781698192,1781698358,1781698622,1781698845,1781699223,1781699374,1781699432,1781699568
1428033300	1781696191,1781696810,1781697730,1781698200,1781698419,1781699236,1781699293,1781699361,1781699537,1781727262,1781712374,1781697948,1781699039,1781699173,1781699479,1781706023,1781708650,1781709188,1781709610,1781711312,1781711833,1781728928,1781693669,1781695148,1781697109,1781698596,1781698869,1781699197,1781699477,1781699636,1781729366,1781696073,1781696757,1781698550,1781699514,1781711011,1781712038,1781713338,1781730837,1781699531
1428033600	1781731858,1781695527,1781697872,1781699362,1781711568,1781712590,1781717031,1781699482,1781709877,1781712145,1781713255,1781713648,1781714791,1781715316,1781715999,1781716247,1781716446,1781716741,1781716978,1781717484,1781736757,1781689204,1781698857,1781699572,1781709054,1781712757,1781714560,1781715076,1781715169,1781715746,1781716183,1781716254,1781716300,1781716441,1781716477,1781716739,1781716870,1781716928,1781716968,1781717037,1781717242,1781717379,1781698031,1781698424,1781709226,1781715087,1781715111,1781716131,1781716181,1781716355,1781716737,1781717081,1781717251,1781717372,1781717674,1781717738,1781717830,1781717924,1781739418,1781714128,1781714558,1781714955,1781715923,1781716013,1781716900,1781717442,1781717603,1781717639,1781717900,1781718123,1781718232,1781718368,1781719008,1781719040
1428033900	1781699483,1781716363,1781716620,1781717418,1781717562,1781717744,1781718122,1781718209,1781718382,1781718417,1781718578,1781719302,1781719561,1781742018,1781711205,1781715258,1781715964,1781716880,1781717258,1781717705,1781717853,1781717869,1781718160,1781718341,1781718638,1781718863,1781718926,1781719022,1781719301,1781719463,1781743352,1781716151,1781717062,1781717351,1781717904,1781718203,1781718796,1781718871,1781718888,1781719051,1781719264,1781719426,1781719614,1781745157,1781699467,1781715701,1781718183,1781719456,1781719562,1781722915,1781747134,1781717224,1781717592,1781717837,1781718272,1781718581,1781718800,1781719256,1781724284
1428034200	1781726544,1781712768,1781718381,1781722898,1781724860,1781725087,1781725777,1781728864,1781751210,1781714898,1781717546,1781718855,1781719005,1781719455,1781721648,1781724428,1781725259,1781725383,1781726001,1781726218,1781726654,1781727240,1781727334,1781727514,1781728225,1781728275,1781728370,1781728530,1781728569,1781728827,1781751929,1781718899,1781719608,1781723028,1781724206,1781726570,1781727550,1781727739,1781727829,1781728133,1781728274,1781728376,1781728525,1781728566,1781728880,1781715955,1781717272,1781719468,1781727540,1781727693,1781728120,1781728168,1781728295,1781728438,1781728633,1781728972,1781729266,1781729518,1781729696,1781753346,1781717097,1781717357,1781718109,1781726300,1781727328,1781727544,1781728421,1781728670,1781728849,1781729374,1781729532,1781729689
1428034500	1781753796,1781715961,1781725084,1781728318,1781728561,1781728824,1781728844,1781729221,1781729483,1781729705,1781755219,1781728500,1781728638,1781733871,1781736789,1781738406,1781738494,1781738585,1781738833,1781738959,1781739315,1781739386,1781739551,1781740707,1781740785,1781741126,1781755364,1781724241,1781726712,1781727733,1781734850,1781736906,1781738920,1781739221,1781739310,1781739355,1781739459,1781739625,1781756222,1781724392,1781728299,1781732508,1781734575,1781736173,1781737338,1781738340,1781740021,1781740408,1781741116,1781741322,1781727987,1781728964,1781737163,1781739192,1781739377,1781739491,1781741985,1781742093,1781742867,1781743099,1781743245,1781743298
1428034800	1781742933,1781757455,1781728898,1781737795,1781738049,1781740272,1781741300,1781741937,1781742812,1781742866,1781758004,1781737526,1781738510,1781738788,1781742257,1781742319,1781746876,1781762730,1781728221,1781736889,1781738324,1781739208,1781741881,1781742663,1781742877,1781744362,1781744463,1781744798,1781744850,1781745200,1781745961,1781746344,1781746449,1781746708,1781746752,1781746816,1781746872,1781765481,1781745926,1781743819,1781743958,1781744027,1781744164,1781745163,1781745398,1781745799,1781745920,1781766520,1781745703,1781728156,1781742448,1781742963,1781743395,1781744736,1781745003
1428035100	1781767852,1781746457,1781728816,1781742458,1781743731,1781745028,1781745414,1781746370,1781748446,1781768912,1781743267,1781743693,1781745424,1781745821,1781746361,1781746927,1781747129,1781747355,1781747627,1781747643,1781747667,1781747746,1781748212,1781748264,1781748302,1781748343,1781749499,1781770911,1781737854,1781743272,1781744501,1781744612,1781745409,1781746322,1781746733,1781746938,1781747133,1781747693,1781747910,1781747923,1781748215,1781748568,1781748616,1781748693,1781749031,1781749322,1781749343,1781749494,1781771582,1781741653,1781742311,1781742506,1781744802,1781745809,1781746270,1781747708,1781747968,1781748201,1781748383,1781748609,1781749075,1781749350,1781749525,1781749593,1781749621,1781749718,1781749731,1781751023,1781751438,1781753434,1781753823,1781744059,1781746809,1781747155,1781747610,1781747809,1781748234,1781748331,1781748368,1781748641,1781748676,1781748726,1781748972,1781749028,1781749040,1781749376,1781749384,1781749485,1781749629,1781751886,1781752662,1781752756
1428035400	1781779786,1781747260,1781748341,1781748381,1781748589,1781748629,1781748731,1781748766,1781748830,1781748985,1781749109,1781749377,1781749491,1781749624,1781749631,1781754699,1781746487,1781746744,1781747117,1781747623,1781748175,1781748349,1781748585,1781748838,1781748854,1781749134,1781749531,1781749602,1781754173,1781746364,1781746774,1781747226,1781747789,1781748263,1781748643,1781748727,1781748835,1781749358,1781749600,1781753196,1781754614,1781755508,1781756114,1781756706,1781756789,1781757073,1781757495,1781757828,1781781373,1781743313,1781748722,1781755359,1781756120,1781739668,1781743743,1781747281,1781748056,1781748777,1781749009,1781749595,1781754098,1781755745,1781755959,1781756151,1781756804,1781758842,1781758971,1781759548,1781759635,1781762889
